Vietnamese,English
tôi,I
không,Are not
là,To be
anh,Older brother
có,Have
ta,ta
chúng,they
gì,What
và,and
cô,Miss
làm,do
này,This
cho,give
em,me
con,child
sao,Star
ông,grandfather
nói,speak
nó,It
ra,go out
nào,any
cái,female
trong,in
mà,but
khi,When
thì,then
thôi,Stop
còn,still
vào,enter
các,the
ai,Who
mình,me
vì,because
à,ah
xin,Ask for
nhà,home
lên,go up
nghe,listen
nên,should
mày,you
tìm,find
tin,believe
hãy,let's
quá,too
bà,grandma
ý,idea
hay,nice
công,labour
tao,I
bao,bag
trên,above
tên,name
thành,wall
sau,after
cháu,grandchildren
ngày,day
khác,other
xem,see
theo,according to
yêu,Love
qua,via
cùng,together
ngay,right
thích,prefer
cách,way
nhìn,look
lúc,at the time
quan,mandarin
chào,Hello
hai,two
giúp,help
ngài,sir
chính,main
tay,hand
nhân,core
xe,car
cha,father
chúa,God
nay,now
nhé,okay
do,due
bé,little
vâng,Yes
gái,girl
luôn,always
gia,family
nhau,each other
bây,you
ngoài,outside
toàn,full
sát,close
phòng,room
hàng,row
chút,little
chú,uncle
nhiên,course
lý,reason
nhanh,fast
quay,turn
tình,love
bên,beside
vui,fun
gian,time
tâm,heart
sinh,born
máy,machine
vài,few
trai,male
câu,sentence
kia,there
ko,no
hành,onion
vô,enter
báo,newspaper
lo,worry
hôm,day
viên,pellets
hình,image
bình,jar
oh,oh
cám,bran
sáng,bright
bác,uncle
lâu,long
thông,pine
rõ,clearly
trung,central
dùng,use
ôi,Oh
tra,check
ba,three
tiên,fairy
thân,close
thêm,more
thay,replace
mang,carry
quân,army
xác,body
liên,contact
an,an
dù,umbrella
bay,fly
phát,broadcast
hoàn,complete
tính,count
trông,looks
xa,distant
coi,watch
khó,difficult
súng,gun
giá,price
xong,finished
cao,High
ít,little
lòng,heart
trái,left
quái,heck
phía,side
yeah,yeah
sai,wrong
sàng,ready
quên,forget
phút,minute
minh,bright
gã,guy
chân,foot
kinh,terrible
mua,buy
duy,only
trí,mind
tàu,ship
trò,game
kìa,behold
quý,precious
bài,post
tháng,month
hôn,kiss
mai,tomorrow
tài,talent
to,big
the,the
phép,permission
pháp,France
khách,guest
yên,quiet
máu,blood
khí,gas
phá,break
thú,animal
dân,people
cá,fish
nhiêu,much
mau,quickly
bàn,table
hoàng,royal
sách,book
chó,dog
