Vietnamese,English
tôi,I
không,Are not
là,To be
anh,Older brother
có,Have
ta,ta
chúng,they
gì,What
và,and
cô,Miss
làm,do
ph?i,Right
r?i,Already
ng??i,People
này,This
cho,give
em,me
con,child
sao,Star
ông,grandfather
nói,speak
nó,It
l?i,again
ra,go out
v?y,So
??,to
nào,any
?y,that
cái,female
?ang,in progress
mu?n,want
trong,in
mà,but
nh?,like
nh?ng,But
khi,When
nh?ng,these
??n,arrive
?âu,where
chuy?n,story
ch?,only
c?,chief
v?,about
thì,then
h?,Surname
gi?,hour
thôi,Stop
th?y,see
còn,still
c?ng,also
vào,enter
các,the
b?,bag
ngh?,think
??y,there
ai,Who
th?t,Real
h?n,him
n?u,If
mình,me
vi?c,job
n?a,again
r?t,very
vì,because
c?n,need
ch?,Yes
à,ah
?i?u,thing
s?,the
t?i,next
xin,Ask for
th?,rank
ch?a,Not yet
nhà,home
lên,go up
?úng,correct
t?,from
m?,Mom
nghe,listen
h?n,than
m?i,all
b?n,Friend
t?,me
nên,should
ch?t,die
mày,you
?n,thank you
??u,head
??ng,do not
tìm,find
t?t,Good
tin,believe
hãy,let's
quá,too
nhi?u,much
tr??c,before
c?m,have a cold
bà,grandma
ý,idea
hay,nice
công,labour
nh?t,best
tao,I
b?,dad
t?t,socks
bao,bag
trên,above
tên,name
l?i,error
t?i,in
thành,wall
sau,after
cháu,grandchildren
ngày,day
khác,other
xem,see
theo,according to
ch?c,sure
g?p,meet
b?t,catch
yêu,Love
c?,keep
qua,via
v?n,still
cùng,together
ngay,right
thích,prefer
cách,way
nhìn,look
s?ng,living
b?n,guys
lúc,at the time
gi?t,kill
m?i,new
quan,mandarin
chào,Hello
??a,give
l?m,very
g?i,call
h?t,run out of
b?o,tell
hai,two
r?ng,that
?n,eat
giúp,help
hi?u,understand
l?y,take
ngài,sir
t?,on one's own
l?n,time
chính,main
tay,hand
nhân,core
cu?c,call
b?,cancel
n?m,year
m?t,lost
h?,Huh
v?,service
xe,car
ng??i,you
nh?n,receive
cha,father
chúa,God
kh?i,out
nay,now
??nh,determined
ti?n,money
th?i,time
c?,muscle
nhé,okay
do,due
tr?,return
bé,little
m?t,face
???ng,road
vâng,Yes
gái,girl
luôn,always
m?y,some
gia,family
nhau,each other
l?i,word
n?i,place
ch?,older sister
xu?ng,down
bây,you
th?a,sir
s?,number
??ng,dynamic
??,thing
ngoài,outside
toàn,full
b?t,real
sát,close
th?c,real
t?ng,each
phòng,room
th?ng,guy
k?,guys
hàng,row
b?ng,equal
ch?ng,no
chút,little
nh?,miss
chú,uncle
nhiên,course
lý,reason
ch?,place
h?c,learn
nhanh,fast
quay,turn
s?,doctor
c?,try
tuy?t,great
l?,perhaps
chi?n,war
h?i,ask
??i,grand
